Disease Name,Short Description,General Precautions,Recommended Doctor / Specialist
cystitis,cystitis — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
sickle cell anemia,sickle cell anemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
subconjunctival hemorrhage,subconjunctival hemorrhage — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Neurologist; Neurosurgeon
hemorrhoids,hemorrhoids — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
contact dermatitis,contact dermatitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
sinus bradycardia,sinus bradycardia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
high blood pressure,high blood pressure — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pelvic inflammatory disease,pelvic inflammatory disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
liver disease,liver disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Hepatologist / Gastroenterologist
chronic constipation,chronic constipation — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
thyroid cancer,thyroid cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Endocrinologist; Medical oncologist; Oncologist; Surgical oncologist
flu,flu — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
friedrich ataxia,friedrich ataxia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
tic (movement) disorder,tic (movement) disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
skin polyp,skin polyp — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
brachial neuritis,brachial neuritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
cervical cancer,cervical cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Gynecologist; Medical oncologist; Oncologist; Surgical oncologist
adrenal adenoma,adrenal adenoma — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist; Nephrologist
esophagitis,esophagitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
gas gangrene,gas gangrene — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
yeast infection,yeast infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
spina bifida,spina bifida — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
drug poisoning due to medication,drug poisoning due to medication — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
alcoholic liver disease,alcoholic liver disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Hepatologist / Gastroenterologist
malignant hypertension,malignant hypertension — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Control risk factors: smoking cessation, healthy diet, regular exercise, and medication adherence",Endocrinologist
diverticulitis,diverticulitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon
moyamoya disease,moyamoya disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
heat exhaustion,heat exhaustion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
psychotic disorder,"psychotic disorder — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.","Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk",Psychiatrist / Psychologist
frostbite,frostbite — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
atrophy of the corpus cavernosum,atrophy of the corpus cavernosum — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
smoking or tobacco addiction,smoking or tobacco addiction — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk",Psychiatrist / Psychologist
sprain or strain,"sprain or strain — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
essential tremor,essential tremor — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
open wound of the ear,"open wound of the ear — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,ENT (Otolaryngologist)
foreign body in the nose,foreign body in the nose — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
idiopathic painful menstruation,idiopathic painful menstruation — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
down syndrome,down syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
idiopathic infrequent menstruation,idiopathic infrequent menstruation — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pneumothorax,pneumothorax — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
de quervain disease,de quervain disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
fracture of the vertebra,"fracture of the vertebra — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
human immunodeficiency virus infection (hiv),human immunodeficiency virus infection (hiv) — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
mumps,mumps — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Infectious disease specialist
subarachnoid hemorrhage,subarachnoid hemorrhage — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Neurologist; Neurosurgeon
acute fatty liver of pregnancy (aflp),acute fatty liver of pregnancy (aflp) — a condition related to pregnancy; management depends on the specific diagnosis and obstetric evaluation.,Seek medical evaluation if symptoms are severe or persistent; Attend regular antenatal care and follow obstetrician guidance,Hepatologist / Gastroenterologist; Obstetrician-Gynecologist
ectropion,ectropion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
scar,scar — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
lactose intolerance,lactose intolerance — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
eustachian tube dysfunction (ear disorder),eustachian tube dysfunction (ear disorder) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
appendicitis,appendicitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon
graves disease,graves disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
dissociative disorder,"dissociative disorder — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.",Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Psychiatrist / Psychologist
open wound of the face,"open wound of the face — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
dislocation of the vertebra,"dislocation of the vertebra — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
phimosis,phimosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hyperemesis gravidarum,hyperemesis gravidarum — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
pregnancy,pregnancy — a condition related to pregnancy; management depends on the specific diagnosis and obstetric evaluation.,Seek medical evaluation if symptoms are severe or persistent; Attend regular antenatal care and follow obstetrician guidance,Obstetrician-Gynecologist
thalassemia,thalassemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
placenta previa,placenta previa — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Obstetrician-Gynecologist
epidural hemorrhage,epidural hemorrhage — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Neurologist; Neurosurgeon
septic arthritis,septic arthritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
athlete's foot,athlete's foot — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pleural effusion,pleural effusion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Pulmonologist
aphakia,aphakia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
vulvar disorder,vulvar disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gynecologist
sialoadenitis,sialoadenitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
gynecomastia,gynecomastia — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
urinary tract infection,urinary tract infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
histoplasmosis,histoplasmosis — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Infectious disease specialist
erythema multiforme,erythema multiforme — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
scoliosis,scoliosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
bunion,bunion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
arrhythmia,arrhythmia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
trigeminal neuralgia,trigeminal neuralgia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
ankylosing spondylitis,ankylosing spondylitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
peripheral nerve disorder,peripheral nerve disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
sebaceous cyst,sebaceous cyst — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
poisoning due to antipsychotics,"poisoning due to antipsychotics — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.","Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Psychiatrist / Psychologist
neurosis,neurosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
prostate cancer,prostate cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Medical oncologist; Oncologist; Surgical oncologist; Urologist
cerebral edema,cerebral edema — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Neurologist; Neurosurgeon
dislocation of the finger,"dislocation of the finger — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
birth trauma,birth trauma — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
chronic pancreatitis,chronic pancreatitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hematoma,hematoma — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
carcinoid syndrome,carcinoid syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
open wound of the head,"open wound of the head — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
seborrheic keratosis,seborrheic keratosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
burn,burn — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
spontaneous abortion,spontaneous abortion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Obstetrician-Gynecologist
genital herpes,genital herpes — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
adjustment reaction,adjustment reaction — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
gallstone,gallstone — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
multiple sclerosis,multiple sclerosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
zenker diverticulum,zenker diverticulum — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon
fracture of the pelvis,"fracture of the pelvis — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
pneumoconiosis,pneumoconiosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hyperlipidemia,hyperlipidemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Control risk factors: smoking cessation, healthy diet, regular exercise, and medication adherence",Endocrinologist
ulcerative colitis,ulcerative colitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
male genitalia infection,male genitalia infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
hpv,hpv — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
angina,angina — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
injury to the spinal cord,"injury to the spinal cord — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
nasal polyp,nasal polyp — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
lichen simplex,lichen simplex — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
trichiasis,trichiasis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
acariasis,acariasis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
colorectal cancer,colorectal cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Gastroenterologist / General surgeon; Medical oncologist; Oncologist; Surgical oncologist
skin pigmentation disorder,skin pigmentation disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
factitious disorder,factitious disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
lymphogranuloma venereum,lymphogranuloma venereum — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
galactorrhea of unknown cause,galactorrhea of unknown cause — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
g6pd enzyme deficiency,g6pd enzyme deficiency — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
nerve impingement near the shoulder,nerve impingement near the shoulder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
toxoplasmosis,toxoplasmosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Infectious disease specialist
fibroadenoma,fibroadenoma — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
open wound of the hand,"open wound of the hand — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
missed abortion,missed abortion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Obstetrician-Gynecologist
diabetic ketoacidosis,diabetic ketoacidosis — a metabolic disorder affecting blood sugar regulation; management includes lifestyle measures and medication.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
granuloma inguinale,granuloma inguinale — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
obsessive compulsive disorder (ocd),"obsessive compulsive disorder (ocd) — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.",Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Psychiatrist / Psychologist
injury of the ankle,"injury of the ankle — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
hyponatremia,hyponatremia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
stricture of the esophagus,stricture of the esophagus — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
fracture of the ankle,"fracture of the ankle — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
